x,y
70,322
67,564
57,261
64,263
74,269
65,177
56,256
59,239
60,293
63,407
59,234
53,226
44,235
61,234
57,303
71,149
46,311
53,203
64,211
40,199
67,229
48,245
43,303
47,204
54,288
48,275
46,243
51,295
58,230
71,265
57,229
66,228
37,215
59,326
50,200
48,256
61,207
59,273
42,180
48,222
40,223
62,209
44,233
46,197
59,218
58,211
49,149
44,197
66,246
65,225
42,315
52,205
65,417
63,195
45,234
41,198
61,166
60,178
59,249
62,281
57,126
51,305
44,226
60,240
63,233
57,276
51,261
58,319
44,242
47,243
61,260
57,354
70,245
76,197
67,223
45,309
45,208
39,199
42,209
56,236
58,218
35,198
58,270
41,214
57,201
42,244
62,208
59,270
41,306
50,243
59,221
61,330
54,266
54,206
52,212
47,275
66,302
58,234
64,313
50,244
44,141
67,237
49,269
57,289
63,254
48,274
51,222
60,258
59,177
45,160
55,327
41,235
60,305
54,304
42,295
49,271
46,249
56,288
66,226
56,283
49,188
54,286
57,274
65,360
54,273
54,201
62,267
52,196
52,201
60,230
63,269
66,212
42,226
64,246
54,232
46,177
67,277
56,249
34,210
57,207
64,212
59,271
50,233
51,213
54,283
53,282
52,230
40,167
58,224
41,268
41,250
50,219
54,267
64,303
51,256
46,204
55,217
45,308
56,193
66,228
38,231
62,244
55,262
58,259
43,211
64,325
50,254
53,197
45,236
65,282
69,234
69,254
67,299
68,211
34,182
62,294
51,298
46,231
67,254
50,196
42,240
56,409
41,172
42,265
53,246
43,315
56,184
52,233
62,394
70,269
54,239
70,174
54,309
35,282
48,255
55,250
58,248
54,214
69,239
77,304
68,277
58,300
60,258
51,299
55,289
52,298
60,318
58,240
64,309
37,250
59,288
51,245
43,213
58,216
29,204
41,204
63,252
51,227
54,258
44,220
54,239
65,254
57,168
63,330
35,183
41,203
62,263
43,341
58,283
52,186
61,307
39,219
45,260
52,255
62,231
62,164
53,234
43,177
47,257
52,325
68,274
39,321
53,264
62,268
51,308
60,253
65,248
65,269
60,185
60,282
54,188
44,219
44,290
51,175
59,212
71,302
61,243
55,353
64,335
43,247
58,340
60,206
58,284
49,266
48,229
52,199
44,263
56,294
57,192
67,286
